RHS	RHO	RTS	RTO
96	176	163	219
298	378	362	412
490	569	544	606
688	768	752	799
880	970	954	1001
1078	1166	1148	1205
1280	1369	1354	1401
1475	1561	1543	1599
1671	1752	1737	1785
1869	1946	1931	1983
2061	2131	2115	2179
2258	2342	2328	2377
2453	2530	2517	2564
2646	2722	2709	2767
2840	2918	2906	2958
3038	3123	3108	3158
3235	3305	3291	3355
3431	3511	3498	3548
3621	3688	3675	3735
3809	3880	3864	3924
3992	4054	4040	4102
4177	4259	4244	4314
4371	4445	4430	4495
4560	4633	4620	4670
4751	4830	4814	4865
4944	5019	5003	5058
5137	5211	5197	5247
5330	5409	5392	5450
5530	5605	5590	5640
5726	5801	5786	5843
5923	5999	5986	6034
6118	6197	6185	6234
6319	6401	6385	6441
6518	6597	6584	6629
6711	6785	6770	6822
6904	6969	6954	7013
7095	7167	7154	7206
7283	7362	7341	7404
7468	7551	7535	7587
7656	7725	7708	7773
7843	7921	7906	7962
8032	8099	8085	8139
8214	8286	8275	8327
8402	8469	8455	8514

