RHS	RHO	RTS	RTO
98	218	196	252
340	426	402	459
548	645	618	670
752	834	797	871
955	1050	1027	1075
1159	1245	1206	1277
1359	1442	1414	1476
1556	1637	1617	1676
1752	1835	1806	1872
1940	2022	1982	2056
2140	2212	2186	2259
2344	2429	2403	2460
2544	2616	2587	2659
2729	2809	2779	2851
2941	3025	3005	3061
3139	3219	3190	3259
3342	3426	3394	3455
3541	3623	3604	3660
3747	3825	3803	3869
3951	4028	4008	4068
4150	4234	4219	4267
4354	4440	4423	4478
4560	4646	4620	4680
4765	4850	4820	4883
4971	5044	5019	5092
5172	5250	5229	5294
5336	5419	5395	5458
5536	5626	5603	5660
5746	5836	5807	5867
5946	6041	6020	6071
6155	6244	6219	6279
6360	6448	6418	6493
6538	6630	6611	6659
6741	6825	6806	6860
6946	7039	7019	7080
