1330	-49	-589	-236	1537	358	895	160	-389	-726	-433	83	8	18	0
1303	-26	-515	126	1556	302	866	99	-294	-566	-204	141	9	24	4
1303	-26	-515	126	1556	302	866	99	-294	-566	-204	141	9	24	4
1282	-31	-421	296	1490	234	818	72	-252	-500	-11	161	8	26	2
1265	-67	-336	438	1442	187	780	70	-240	-396	176	175	8	20	4
1265	-67	-336	438	1442	187	780	70	-240	-396	176	175	8	20	4
1240	-98	-261	480	1424	160	761	51	-279	-254	422	231	10	20	0
1223	-112	-223	480	1424	160	749	28	-308	-206	595	273	14	20	9
1223	-112	-223	478	1408	152	749	28	-308	-206	595	273	10	21	5
1200	-102	-193	482	1394	165	733	4	-343	-142	805	324	8	16	8
1200	-102	-193	482	1394	165	733	4	-343	-142	805	324	8	16	8
1161	-74	-162	509	1356	190	718	-1	-383	-90	937	351	12	22	4
1125	-64	-150	571	1294	216	700	-15	-400	-77	1094	386	9	19	4
1125	-64	-150	571	1294	216	700	-15	-400	-77	1094	386	14	21	1
1084	-45	-146	662	1229	241	681	-37	-425	90	1320	432	15	20	5
1084	-45	-146	662	1229	241	674	-61	-428	90	1320	432	6	19	3
1031	-11	-143	742	1111	256	674	-61	-428	247	1475	479	10	18	3
992	20	-144	736	1019	251	688	-75	-421	461	1693	539	9	21	5
992	20	-144	736	1019	251	688	-75	-421	461	1693	539	9	21	5
954	39	-151	723	961	242	707	-55	-431	636	1858	588	13	21	4
914	55	-153	723	961	242	728	-17	-457	730	2014	632	11	21	4
914	55	-153	686	898	231	728	-17	-457	730	2014	632	18	18	4
862	72	-145	619	789	218	748	51	-500	804	2182	670	13	20	4
862	72	-145	619	789	218	748	51	-500	804	2182	670	13	20	4
823	85	-135	589	715	204	776	111	-526	791	2302	686	8	22	6
823	85	-135	589	715	204	838	189	-548	623	2430	708	9	24	0
784	107	-124	569	665	182	838	189	-548	623	2430	708	12	18	4
742	136	-108	518	610	155	875	256	-581	568	2553	718	9	19	8
742	136	-108	518	610	155	875	256	-581	568	2553	718	9	19	8
713	163	-95	435	576	148	884	255	-583	193	2579	732	10	18	4
681	190	-83	435	576	148	932	262	-623	73	2702	767	8	18	3
681	190	-83	296	548	161	932	262	-623	73	2702	767	11	18	4
643	209	-68	53	508	199	961	235	-641	-10	2752	790	12	24	3
643	209	-68	53	508	199	961	235	-641	-10	2752	790	12	24	3
617	204	-56	-156	474	245	1000	198	-660	-103	2797	820	9	13	4
617	204	-56	-156	474	245	1038	182	-676	-114	2851	859	10	19	2
591	184	-41	-355	437	290	1038	182	-676	-114	2851	859	13	19	4
578	154	-21	-565	345	350	1074	168	-692	-114	2933	887	10	21	6
578	154	-21	-565	345	350	1074	168	-692	-114	2933	887	10	21	6
